1.00E+04	2.43E-02	2.38E-02
7.94E+03	2.36E-02	1.91E-02
6.31E+03	2.28E-02	1.51E-02
5.01E+03	2.23E-02	1.18E-02
3.98E+03	2.20E-02	9.04E-03
3.16E+03	2.19E-02	6.68E-03
2.51E+03	2.19E-02	4.71E-03
2.00E+03	2.21E-02	3.07E-03
1.58E+03	2.24E-02	1.69E-03
1.26E+03	2.27E-02	5.27E-04
1.00E+03	2.31E-02	-4.67E-04
7.94E+02	2.36E-02	-1.32E-03
6.31E+02	2.41E-02	-2.06E-03
5.01E+02	2.47E-02	-2.70E-03
3.98E+02	2.53E-02	-3.25E-03
3.16E+02	2.60E-02	-3.74E-03
2.51E+02	2.68E-02	-4.16E-03
2.00E+02	2.75E-02	-4.50E-03
1.58E+02	2.83E-02	-4.80E-03
1.26E+02	2.92E-02	-5.04E-03
1.00E+02	3.01E-02	-5.23E-03
7.94E+01	3.10E-02	-5.40E-03
6.31E+01	3.19E-02	-5.49E-03
5.01E+01	3.28E-02	-5.55E-03
3.98E+01	3.37E-02	-5.54E-03
3.16E+01	3.46E-02	-5.65E-03
2.51E+01	3.56E-02	-5.46E-03
2.00E+01	3.65E-02	-5.35E-03
1.58E+01	3.73E-02	-5.21E-03
1.26E+01	3.82E-02	-4.82E-03
1.00E+01	3.90E-02	-4.46E-03
7.94E+00	3.96E-02	-4.16E-03
6.31E+00	4.01E-02	-3.72E-03
5.01E+00	4.07E-02	-3.43E-03
3.98E+00	4.10E-02	-3.22E-03
3.16E+00	4.14E-02	-2.93E-03
2.51E+00	4.17E-02	-2.69E-03
2.00E+00	4.20E-02	-2.49E-03
1.58E+00	4.25E-02	-2.23E-03
1.26E+00	4.25E-02	-2.11E-03
1.00E+00	4.30E-02	-2.32E-03
7.94E-01	4.33E-02	-2.20E-03
6.31E-01	4.33E-02	-2.29E-03
5.01E-01	4.35E-02	-2.63E-03
3.98E-01	4.40E-02	-2.92E-03
3.16E-01	4.45E-02	-3.06E-03
2.51E-01	4.49E-02	-3.16E-03
2.00E-01	4.53E-02	-3.27E-03
1.58E-01	4.58E-02	-3.40E-03
1.26E-01	4.62E-02	-3.55E-03
1.00E-01	4.65E-02	-3.83E-03
7.94E-02	4.69E-02	-4.19E-03
6.31E-02	4.73E-02	-4.69E-03
5.01E-02	4.77E-02	-5.29E-03
3.98E-02	4.83E-02	-6.01E-03
3.16E-02	4.89E-02	-6.87E-03
2.51E-02	4.96E-02	-7.88E-03
2.00E-02	5.05E-02	-9.06E-03
1.58E-02	5.15E-02	-1.04E-02
1.26E-02	5.29E-02	-1.19E-02
1.00E-02	5.44E-02	-1.35E-02
