	10000		0.027214	0.022735	
	7943.3		0.026368	0.018068	
	6309.6		0.025528	0.014126	
	5011.9		0.025039	0.01076	
	3981.1		0.024809	0.0078829	
	3162.3		0.024832	0.0054047	
	2511.9		0.025033	0.0032918	
	1995.3		0.025367	0.0014917	
	1584.9		0.025819	-5.5302e-05	
	1258.9		0.026372	-0.0014041	
	1000		0.027031	-0.0026079	
	794.33		0.027772	-0.0036875	
	630.96		0.02859	-0.0046673	
	501.19		0.029506	-0.0055934	
	398.11		0.030507	-0.0064592	
	316.23		0.031587	-0.0072909	
	251.19		0.032804	-0.0081341	
	199.53		0.034104	-0.0089513	
	158.49		0.035451	-0.0097351	
	125.89		0.036895	-0.010539	
	100		0.038471	-0.011381	
	79.433		0.04015	-0.012277	
	63.096		0.041898	-0.013188	
	50.119		0.043842	-0.014224	
	39.811		0.045878	-0.015174	
	31.623		0.047973	-0.016624	
	25.119		0.050628	-0.017395	
	19.953		0.053083	-0.01878	
	15.849		0.055995	-0.019833	
	12.589		0.059448	-0.020594	
	10		0.062704	-0.021202	
	7.9433		0.066012	-0.022358	
	6.3096		0.069548	-0.022409	
	5.0119		0.073515	-0.023039	
	3.9811		0.076775	-0.023506	
	3.1623		0.080996	-0.023937	
	2.5119		0.08484	-0.023345	
	1.9953		0.089049	-0.022747	
	1.5849		0.093561	-0.020882	
	1.2589		0.096185	-0.019663	
	1		0.10017	-0.0195	
	0.79433		0.10326	-0.01783	
	0.63096		0.105	-0.016597	
	0.50119		0.10664	-0.015818	
	0.39811		0.10843	-0.014712	
	0.31623		0.11013	-0.01343	
	0.25119		0.11164	-0.012242	
	0.19953		0.11287	-0.011356	
	0.15849		0.11404	-0.010589	
	0.12589		0.11509	-0.010066	
	0.1		0.11601	-0.0099189	
	0.079433		0.11696	-0.0099856	
	0.063096		0.11783	-0.01036	
	0.050119		0.11882	-0.010876	
	0.039811		0.11977	-0.011618	
	0.031623		0.12076	-0.012596	
	0.025119		0.12183	-0.013827	
	0.019953		0.12299	-0.015328	
	0.015849		0.12424	-0.017097	
	0.012589		0.12576	-0.019175	
	0.01		0.12742	-0.021561	
