	10000		0.027925	0.024778	
	7943.3		0.027367	0.019652	
	6309.6		0.02671	0.015395	
	5011.9		0.026379	0.011832	
	3981.1		0.026239	0.0088215	
	3162.3		0.026323	0.0062838	
	2511.9		0.026545	0.0041699	
	1995.3		0.026808	0.0024222	
	1584.9		0.027292	0.00095831	
	1258.9		0.027771	-0.00027363	
	1000		0.028329	-0.001314	
	794.33		0.028946	-0.0021987	
	630.96		0.029567	-0.0029554	
	501.19		0.030284	-0.0036211	
	398.11		0.031053	-0.004207	
	316.23		0.03188	-0.0047421	
	251.19		0.032752	-0.0052168	
	199.53		0.033687	-0.0056354	
	158.49		0.034633	-0.0059965	
	125.89		0.0357	-0.0063209	
	100		0.036722	-0.0065896	
	79.433		0.037753	-0.0068352	
	63.096		0.038798	-0.0070439	
	50.119		0.039872	-0.0072568	
	39.811		0.040963	-0.0074741	
	31.623		0.041853	-0.007467	
	25.119		0.042961	-0.007864	
	19.953		0.044097	-0.0081727	
	15.849		0.044838	-0.0086203	
	12.589		0.046111	-0.0090865	
	10		0.047054	-0.0096456	
	7.9433		0.048286	-0.010055	
	6.3096		0.049555	-0.01081	
	5.0119		0.051272	-0.01185	
	3.9811		0.052528	-0.013677	
	3.1623		0.054686	-0.013669	
	2.5119		0.057144	-0.015622	
	1.9953		0.059144	-0.016795	
	1.5849		0.063434	-0.017173	
	1.2589		0.065483	-0.01844	
	1		0.070004	-0.019902	
	0.79433		0.073729	-0.019409	
	0.63096		0.076536	-0.019511	
	0.50119		0.07998	-0.019779	
	0.39811		0.083678	-0.019096	
	0.31623		0.086867	-0.01766	
	0.25119		0.089409	-0.016005	
	0.19953		0.091275	-0.014616	
	0.15849		0.092966	-0.013287	
	0.12589		0.0943	-0.012263	
	0.1		0.095394	-0.01166	
	0.079433		0.096428	-0.011303	
	0.063096		0.097346	-0.011291	
	0.050119		0.09829	-0.011555	
	0.039811		0.099268	-0.012081	
	0.031623		0.1003	-0.012942	
	0.025119		0.10143	-0.014082	
	0.019953		0.10267	-0.015585	
	0.015849		0.10409	-0.017417	
	0.012589		0.1058	-0.019603	
	0.01		0.10778	-0.022159	
